Age,Gender,Country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
28,Male,New Zealand,No,Yes,Yes,Sometimes,6-25,Yes,Yes,Yes,Yes,No,Don't know,Easy,No,No,Yes,Yes,Yes,Yes,Yes,No
32,Male,United Kingdom,No,Yes,Yes,Sometimes,6-25,No,No,No,No,Don't know,Don't know,Medium,No,No,Some of them,Yes,No,No,Don't know,No
24,Male,United States,No,Yes,Yes,Sometimes,100-500,No,No,Yes,No,No,Don't know,Medium,Yes,No,Some of them,Some of them,No,Maybe,No,Yes
24,Female,United States,No,No,No,Sometimes,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Medium,No,No,Some of them,Some of them,Yes,Yes,Yes,No
28,Male,Canada,Yes,No,No,Never,100-500,Yes,Don't know,No,No,No,Don't know,Medium,Maybe,No,Some of them,Yes,No,No,Yes,No
24,Female,United States,No,Yes,Yes,Rarely,6-25,No,No,No,No,No,Don't know,Easy,Yes,No,No,Some of them,No,Yes,Yes,No
33,Male,United States,Yes,No,Yes,Often,1-5,Yes,No,No,No,No,Yes,Medium,Yes,Maybe,Some of them,Some of them,Yes,Yes,Don't know,No
34,Male,United States,No,No,No,Sometimes,26-100,No,Don't know,No,No,No,Don't know,Medium,Maybe,No,Yes,Yes,No,Maybe,Don't know,No
27,Female,United States,No,No,Yes,Sometimes,26-100,No,Don't know,Not sure,No,No,Don't know,Medium,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No
28,Male,United States,No,No,No,Never,6-25,No,Don't know,No,No,Don't know,Don't know,Medium,No,No,Some of them,Yes,No,No,Don't know,No
26,Male,United States,No,No,No,Sometimes,More than 1000,No,Don't know,Not sure,Don't know,Don't know,Don't know,Medium,No,No,Some of them,Yes,No,No,Don't know,Yes
20,Male,Australia,No,No,No,Sometimes,100-500,Yes,Don't know,Not sure,Don't know,Don't know,Yes,Easy,No,No,Some of them,Yes,No,No,Don't know,No
23,Female,United States,No,No,Yes,Sometimes,26-100,No,Yes,Yes,No,Don't know,Don't know,Medium,Maybe,No,Some of them,No,No,Maybe,Don't know,No
29,Male,United States,No,Yes,Yes,Rarely,1-5,Yes,Yes,Yes,Yes,Yes,Yes,Medium,No,No,Yes,Yes,Maybe,Maybe,Yes,No
26,Male,United Kingdom,No,Yes,No,Sometimes,6-25,No,No,No,No,No,Don't know,Medium,Maybe,Maybe,No,No,No,Maybe,No,No
36,Male,United States,No,No,No,Rarely,More than 1000,Yes,Yes,No,Yes,Don't know,Don't know,Medium,Maybe,No,No,No,No,No,Don't know,No
41,Male,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Medium,Maybe,No,Some of them,Yes,Maybe,Yes,Yes,Yes
33,Female,United States,No,No,No,Sometimes,100-500,Yes,Yes,No,Don't know,No,Don't know,Medium,No,No,Some of them,Yes,No,No,Yes,No
23,Male,Canada,No,Yes,Yes,Sometimes,6-25,No,Yes,Yes,No,No,Yes,Easy,No,No,Yes,Yes,No,No,Yes,No
39,Male,United States,No,Yes,No,Often,More than 1000,No,Yes,No,No,Don't know,Don't know,Medium,Yes,No,Some of them,Some of them,No,Maybe,No,Yes
34,Male,United States,No,Yes,No,Sometimes,More than 1000,No,Yes,Not sure,Don't know,Don't know,Don't know,Medium,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,Yes
26,Female,United States,No,No,Yes,Sometimes,100-500,No,Yes,Yes,No,No,Don't know,Medium,Yes,Maybe,Some of them,Some of them,No,No,No,Yes
24,Male,United States,No,No,Yes,Rarely,26-100,No,Yes,Yes,Yes,No,Don't know,Medium,No,No,Some of them,Yes,No,No,Don't know,No
43,Male,United States,Yes,Yes,Yes,Often,6-25,Yes,Yes,Yes,No,No,Yes,Easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
40,Other,United States,No,Yes,No,Never,More than 1000,No,Yes,Yes,Yes,Don't know,Yes,Medium,Yes,Maybe,No,Some of them,No,Maybe,Yes,No
30,Male,United States,No,Yes,Yes,Often,More than 1000,No,Yes,Yes,Yes,No,Don't know,Difficult,Yes,No,Some of them,No,No,No,No,Yes
34,Male,United States,No,No,Yes,Sometimes,6-25,No,Don't know,Not sure,No,No,Don't know,Medium,Yes,Yes,Some of them,No,No,No,Don't know,No
27,Male,United States,No,Yes,Yes,Sometimes,100-500,No,Don't know,Not sure,No,Don't know,Don't know,Medium,Yes,No,No,No,No,Yes,Don't know,No
36,Male,United States,No,No,No,Sometimes,More than 1000,No,Don't know,No,No,No,Yes,Medium,No,No,Yes,Yes,Maybe,Yes,Don't know,No
27,Male,Brazil,No,No,No,Rarely,6-25,No,No,Yes,No,No,Don't know,Medium,Maybe,No,Some of them,Some of them,No,Maybe,No,No
35,Male,Netherlands,No,Yes,No,Never,100-500,No,Yes,No,No,No,Yes,Medium,Yes,No,No,No,No,Maybe,Don't know,No
32,Male,United Kingdom,No,No,No,Never,6-25,No,No,No,No,No,Don't know,Medium,Maybe,No,Some of them,No,No,Yes,Yes,No
37,Male,United States,No,No,No,Sometimes,500-1000,No,Yes,No,No,No,Don't know,Medium,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No
29,Male,United Kingdom,No,No,No,Sometimes,26-100,No,Don't know,No,Don't know,Don't know,Don't know,Medium,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
33,Female,United States,No,No,No,Never,500-1000,No,Yes,Not sure,Yes,Yes,Don't know,Easy,Maybe,No,Some of them,Yes,No,No,Yes,No
28,Male,United States,No,No,No,Sometimes,6-25,Yes,No,Yes,No,No,Don't know,Medium,Yes,Maybe,Some of them,No,No,No,Don't know,No
26,Female,United States,No,Yes,No,Never,26-100,No,Don't know,Not sure,No,No,Don't know,Medium,Maybe,Maybe,Some of them,No,No,Maybe,No,No
27,Male,United States,No,Yes,Yes,Sometimes,6-25,Yes,Don't know,No,Yes,Don't know,Don't know,Medium,Yes,No,Some of them,Yes,No,Maybe,Yes,No
38,Male,United Kingdom,Yes,No,Yes,Sometimes,26-100,Yes,No,No,No,No,Yes,Medium,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No
57,Male,United States,No,Yes,Yes,Rarely,More than 1000,No,Yes,Yes,No,No,Don't know,Medium,Maybe,No,Some of them,Yes,No,Maybe,No,No
28,Male,United Kingdom,No,No,Yes,Sometimes,More than 1000,No,No,No,No,No,No,Difficult,Yes,Maybe,No,Some of them,No,Maybe,No,No
26,Male,France,No,No,No,Never,6-25,No,No,Yes,No,No,Don't know,Medium,Maybe,No,Yes,Yes,Maybe,Maybe,No,No
42,Female,Netherlands,No,No,Yes,Rarely,100-500,Yes,Yes,Yes,No,No,Yes,Medium,Yes,No,Some of them,No,No,Maybe,Don't know,No
31,Male,United States,No,No,Yes,Sometimes,100-500,Yes,Yes,Yes,Yes,Yes,Yes,Easy,No,No,Some of them,Yes,No,No,Yes,No
58,Male,United States,No,No,Yes,Rarely,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Medium,Maybe,No,Some of them,Yes,No,Yes,Yes,No
29,Male,United States,No,No,No,Sometimes,6-25,No,Don't know,No,No,No,Don't know,Difficult,Yes,No,No,No,No,Maybe,No,No
39,Female,United Kingdom,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,No,Yes,Don't know,Medium,Yes,No,Some of them,Some of them,No,Maybe,No,Yes
34,Male,United States,No,No,No,Sometimes,6-25,Yes,Don't know,No,No,No,Don't know,Difficult,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No
57,Male,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,Not sure,Yes,Yes,Don't know,Medium,Maybe,Maybe,No,No,No,Maybe,Don't know,No
27,Male,Germany,No,Yes,Yes,Sometimes,6-25,No,No,Not sure,No,No,Don't know,Medium,Yes,Maybe,Some of them,No,No,No,No,Yes
23,Male,Germany,Yes,Yes,Yes,Often,26-100,Yes,Don't know,No,Don't know,Don't know,Don't know,Medium,No,Maybe,Yes,Yes,Maybe,Yes,Don't know,No
30,Female,United States,No,No,No,Sometimes,100-500,No,Don't know,Not sure,No,No,Don't know,Medium,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No
43,Male,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Medium,Yes,Maybe,No,No,No,Yes,Don't know,No
18,Female,United Kingdom,No,Yes,Yes,Sometimes,1-5,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Medium,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No
29,Male,United States,No,No,Yes,Rarely,6-25,No,Yes,Yes,No,No,Don't know,Medium,Maybe,No,Some of them,No,No,Maybe,Don't know,No
48,Male,United States,No,No,No,Never,6-25,No,Don't know,No,No,Don't know,Don't know,Medium,Maybe,No,No,No,No,Maybe,Don't know,No
28,Female,United States,No,Yes,Yes,Sometimes,26-100,No,Don't know,Not sure,No,No,Don't know,Medium,Yes,Maybe,Some of them,No,No,Maybe,Don't know,No
30,Male,United States,Yes,Yes,Yes,Often,1-5,Yes,No,Yes,No,No,Yes,Easy,No,No,Yes,Yes,No,No,Yes,No
26,Male,Israel,No,No,No,Sometimes,6-25,No,No,No,No,No,Yes,Easy,Maybe,No,Some of them,Yes,No,Maybe,Yes,No
31,Male,United States,No,No,No,Sometimes,More than 1000,No,Yes,Not sure,Don't know,Don't know,Yes,Medium,No,No,No,Some of them,No,No,Yes,No
27,Male,Israel,No,No,No,Sometimes,26-100,No,No,No,No,No,Don't know,Medium,Yes,No,Some of them,No,No,Maybe,No,Yes
24,Female,United States,Yes,Yes,Yes,Sometimes,1-5,Yes,No,No,Don't know,Don't know,Don't know,Medium,No,No,Some of them,Some of them,No,No,Don't know,Yes
25,Male,United States,No,No,No,Sometimes,26-100,No,Don't know,Not sure,Don't know,Don't know,Don't know,Medium,Maybe,No,Some of them,No,No,No,Don't know,No
23,Female,United States,No,Yes,Yes,Often,More than 1000,No,Yes,Not sure,Don't know,No,Don't know,Medium,Maybe,No,Some of them,Some of them,No,No,Yes,Yes
25,Female,United States,Yes,Yes,Yes,Often,1-5,Yes,Don't know,Not sure,No,No,Yes,Medium,Yes,No,Some of them,No,No,Maybe,No,Yes
34,Male,Netherlands,No,No,No,Rarely,6-25,No,Don't know,Not sure,Don't know,Don't know,Don't know,Medium,No,No,Some of them,Some of them,No,Maybe,Yes,No
38,Female,United States,No,No,Yes,Sometimes,26-100,No,Yes,Yes,No,No,Yes,Medium,Maybe,Maybe,No,No,No,No,No,No
40,Male,Ireland,Yes,Yes,No,Sometimes,More than 1000,No,No,No,No,No,No,Medium,Yes,Maybe,Some of them,No,No,Maybe,No,Yes
32,Male,United Kingdom,No,No,No,Sometimes,26-100,No,No,Not sure,No,Don't know,Don't know,Medium,No,No,No,Some of them,No,Maybe,Don't know,No
35,Female,United States,No,No,Yes,Sometimes,100-500,No,No,Yes,No,No,Don't know,Medium,Yes,Maybe,No,No,No,Maybe,No,No
46,Male,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Yes,Don't know,Medium,Maybe,No,Some of them,No,No,No,Yes,No
32,Male,United Kingdom,No,Yes,Yes,Sometimes,6-25,Yes,Yes,No,No,No,Don't know,Medium,No,No,Yes,Yes,Maybe,Maybe,Yes,No
47,Male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Yes,Don't know,Easy,No,No,Some of them,Yes,No,Yes,Yes,No
22,Male,United States,No,No,No,Sometimes,More than 1000,No,Yes,Not sure,Yes,Don't know,Yes,Medium,No,No,Some of them,Yes,No,Maybe,Yes,No
33,Female,United States,No,No,Yes,Sometimes,500-1000,Yes,Yes,Yes,Yes,Yes,Don't know,Easy,No,No,Some of them,Some of them,No,No,Don't know,No
25,Female,United States,No,No,No,Sometimes,6-25,No,No,No,No,No,No,Medium,Maybe,No,Some of them,No,No,No,Yes,No
29,Male,United States,No,No,No,Sometimes,More than 1000,No,Don't know,Not sure,No,Don't know,Don't know,Medium,Maybe,No,No,No,No,Maybe,Don't know,No
39,Male,United States,No,No,No,Never,26-100,No,Yes,Yes,Yes,Yes,Yes,Easy,No,No,Yes,Yes,No,No,Yes,No
38,Male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Not sure,Yes,Yes,Yes,Medium,Yes,No,No,No,No,No,No,No
43,Male,United States,No,No,No,Sometimes,6-25,Yes,Don't know,No,No,Don't know,Don't know,Medium,Maybe,No,Some of them,No,No,No,Don't know,No
46,Male,United States,No,No,Yes,Rarely,500-1000,Yes,Yes,Not sure,Yes,Yes,Yes,Medium,No,No,Some of them,Yes,No,Maybe,Yes,No
33,Male,Germany,No,No,Yes,Sometimes,6-25,No,Yes,Yes,No,No,Yes,Easy,Yes,Yes,Some of them,Some of them,No,Maybe,No,No
34,Male,United Kingdom,No,Yes,Yes,Often,26-100,No,No,Yes,No,No,Yes,Easy,Maybe,Maybe,Yes,Yes,No,No,No,No
62,Male,United States,No,No,No,Never,More than 1000,No,Yes,Yes,Don't know,Yes,Don't know,Medium,Maybe,No,Some of them,Yes,Maybe,Maybe,Yes,No
25,Male,Bosnia and Herzegovina,No,Yes,No,Rarely,26-100,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Medium,Maybe,Yes,No,No,No,No,Don't know,Yes
36,Male,United States,Yes,Yes,Yes,Sometimes,1-5,Yes,Don't know,Yes,Don't know,No,Yes,Medium,Maybe,No,Some of them,Yes,No,Yes,Yes,No
41,Female,United States,No,Yes,Yes,Rarely,500-1000,Yes,Yes,Yes,Yes,Yes,Yes,Easy,Maybe,Maybe,Some of them,Some of them,No,No,Yes,No
24,Male,Austria,Yes,No,No,Sometimes,1-5,No,Yes,Yes,Don't know,Don't know,Yes,Medium,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No
51,Male,New Zealand,No,No,Yes,Sometimes,26-100,Yes,No,Yes,Yes,No,No,Medium,Yes,Yes,No,No,No,No,Don't know,Yes
29,Male,United States,No,No,Yes,Sometimes,6-25,No,Yes,Yes,No,Yes,Yes,Easy,No,No,No,Some of them,No,No,Yes,No
31,Female,Canada,Yes,Yes,Yes,Sometimes,100-500,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Medium,Maybe,Maybe,Some of them,Yes,No,No,Yes,No
27,Male,United Kingdom,No,No,No,Sometimes,6-25,No,No,No,No,No,Don't know,Medium,No,No,Some of them,Yes,No,Yes,Don't know,No
31,Male,Australia,No,No,Yes,Rarely,100-500,No,Yes,Yes,Yes,Yes,Don't know,Medium,No,No,Yes,Yes,Yes,Yes,No,No
27,Female,Hungary,Yes,Yes,No,Sometimes,1-5,Yes,No,No,No,No,No,Difficult,Yes,Maybe,No,No,No,Maybe,No,No
23,Male,Sweden,No,No,No,Rarely,6-25,No,Don't know,No,No,Don't know,Don't know,Easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
21,Male,Canada,No,No,No,Never,26-100,No,Don't know,Not sure,Don't know,No,Don't know,Medium,Yes,Maybe,No,No,No,Maybe,Don't know,No
27,Female,Australia,No,Yes,Yes,Sometimes,6-25,No,No,Yes,No,No,No,Medium,Yes,No,Some of them,Some of them,No,No,No,No
39,Male,United States,No,Yes,Yes,Often,26-100,Yes,Yes,Yes,Yes,Yes,Don't know,Medium,Yes,No,Some of them,Yes,No,No,No,No
26,Male,United States,No,Yes,Yes,Never,More than 1000,No,Don't know,No,No,Don't know,Don't know,Medium,Maybe,No,No,No,No,No,No,No
27,Male,United Kingdom,No,No,No,Never,6-25,No,Don't know,No,No,No,Don't know,Medium,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No
22,Female,United States,No,Yes,Yes,Sometimes,500-1000,No,Yes,Yes,No,Don't know,Don't know,Medium,No,No,Some of them,Some of them,No,No,No,Yes
31,Female,United States,No,Yes,Yes,Rarely,100-500,No,Yes,Yes,No,No,Yes,Medium,No,No,Yes,Yes,No,No,Yes,No
32,Male,United Kingdom,No,No,No,Never,6-25,No,Don't know,No,No,No,Don't know,Medium,No,No,Yes,Yes,Yes,Yes,Yes,No
28,Female,United States,No,Yes,Yes,Often,100-500,Yes,Yes,No,No,Don't know,Don't know,Medium,Yes,Yes,Some of them,Some of them,No,No,No,Yes
28,Other,United Kingdom,No,Yes,Yes,Rarely,100-500,No,No,Not sure,No,No,Yes,Medium,Yes,Yes,Some of them,Some of them,Yes,No,No,Yes
23,Female,United Kingdom,No,No,No,Sometimes,6-25,No,Don't know,Not sure,No,No,Don't know,Easy,Maybe,No,No,Some of them,No,Yes,Yes,No
30,Male,United Kingdom,No,No,No,Never,26-100,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
36,Male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,No,No,Yes,Don't know,Medium,Yes,No,Some of them,Yes,No,Yes,No,No
21,Male,United States,No,Yes,No,Sometimes,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Medium,No,No,Some of them,Yes,No,Maybe,Yes,No
30,Male,Germany,No,No,No,Often,26-100,No,No,No,Don't know,No,Don't know,Medium,Maybe,No,Some of them,Some of them,Maybe,Yes,Don't know,No
32,Male,New Zealand,No,No,Yes,Sometimes,6-25,No,No,No,No,No,Don't know,Easy,No,No,Some of them,Yes,Maybe,Yes,Don't know,No
29,Female,Canada,No,No,Yes,Sometimes,1-5,No,No,No,No,No,Don't know,Medium,Maybe,No,Some of them,Some of them,No,No,Yes,No
21,Other,United Kingdom,No,No,Yes,Sometimes,26-100,No,No,Yes,Yes,No,Yes,Medium,Maybe,No,Some of them,Some of them,No,No,Yes,No
27,Female,New Zealand,No,Yes,Yes,Rarely,100-500,Yes,No,No,No,No,Don't know,Medium,Maybe,Maybe,Some of them,Some of them,No,Yes,Don't know,No
34,Male,Australia,No,No,No,Sometimes,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Easy,No,No,Some of them,Yes,No,Maybe,Yes,No
33,Male,United States,No,No,No,Sometimes,26-100,No,Don't know,No,Don't know,Don't know,Don't know,Medium,Yes,No,Some of them,No,No,Maybe,Don't know,No
22,Male,Netherlands,No,Yes,Yes,Sometimes,6-25,Yes,No,Not sure,No,Don't know,Don't know,Medium,No,No,Some of them,Yes,Maybe,Yes,Yes,No
24,Male,United States,No,No,No,Sometimes,More than 1000,No,Don't know,Not sure,Don't know,Don't know,Don't know,Medium,Maybe,Maybe,Some of them,Some of them,No,No,Yes,No
27,Male,United States,No,Yes,Yes,Sometimes,100-500,Yes,Don't know,No,No,Don't know,Don't know,Medium,No,No,Some of them,No,No,No,Yes,No
33,Male,Australia,No,No,No,Never,More than 1000,No,Don't know,Not sure,Don't know,Don't know,Yes,Easy,No,No,Some of them,Yes,Maybe,Yes,Yes,No
36,Male,United States,No,No,Yes,Rarely,26-100,No,Don't know,Not sure,No,Don't know,Don't know,Medium,No,No,Some of them,Some of them,No,No,Don't know,No
40,Male,Canada,No,No,No,Never,26-100,No,No,No,No,No,Don't know,Medium,No,No,Some of them,Some of them,No,No,No,No
28,Male,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,No,No,Yes,Medium,Maybe,No,Some of them,No,No,Maybe,No,No
39,Male,United States,No,No,Yes,Sometimes,500-1000,No,Yes,Not sure,Yes,Don't know,Yes,Medium,Yes,Maybe,Yes,Yes,No,Maybe,Don't know,No
32,Male,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,No,No,Yes,Don't know,Medium,No,No,Yes,Some of them,Maybe,Yes,Don't know,No
31,Male,United States,No,Yes,No,Sometimes,More than 1000,No,Yes,Not sure,Don't know,Don't know,Don't know,Medium,Maybe,No,No,Some of them,No,Yes,No,No
38,Male,United States,No,Yes,Yes,Sometimes,100-500,No,Don't know,No,No,No,Don't know,Medium,Maybe,Maybe,Some of them,No,No,No,Don't know,No
23,Male,United States,No,Yes,Yes,Rarely,1-5,No,No,Yes,No,No,Don't know,Medium,Maybe,No,Some of them,Yes,No,No,Yes,No
42,Male,United States,No,No,Yes,Often,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Medium,Maybe,Maybe,Yes,Yes,Maybe,Maybe,Don't know,No
27,Female,United States,No,No,No,Sometimes,500-1000,No,Don't know,Not sure,Don't know,Yes,Don't know,Medium,No,No,Some of them,Yes,No,No,Yes,No
26,Female,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,No,No,Yes,Medium,No,No,Yes,Yes,No,No,No,Yes
50,Male,United States,No,No,No,Never,26-100,Yes,No,Yes,No,No,Don't know,Medium,No,No,No,No,No,Maybe,No,No
37,Male,United States,No,Yes,No,Never,26-100,No,Don't know,No,No,Don't know,Don't know,Medium,No,No,Yes,Yes,No,No,Yes,No
23,Male,United States,No,No,No,Sometimes,26-100,No,Don't know,No,Don't know,No,Don't know,Medium,No,No,Yes,Yes,No,Maybe,Don't know,No
33,Male,United States,No,Yes,No,Sometimes,6-25,Yes,Don't know,Not sure,No,No,Yes,Easy,No,No,Some of them,Yes,No,No,Yes,No
29,Male,Canada,Yes,No,No,Never,26-100,Yes,Yes,Yes,No,No,Yes,Difficult,Yes,No,Some of them,No,No,Yes,No,No
41,Male,United States,No,Yes,Yes,Often,More than 1000,No,Yes,No,No,No,Don't know,Medium,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,Yes
50,Male,United States,No,Yes,No,Sometimes,100-500,Yes,Don't know,No,No,Don't know,Don't know,Medium,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No
35,Male,United States,No,No,No,Never,6-25,No,No,Yes,No,No,Yes,Easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
27,Male,Singapore,No,No,No,Sometimes,1-5,Yes,No,No,No,No,Yes,Medium,Yes,No,Some of them,Yes,No,No,No,No
27,Male,Australia,No,No,Yes,Often,100-500,Yes,No,No,No,No,Don't know,Medium,Maybe,No,Some of them,No,No,Maybe,No,Yes
29,Female,United States,No,No,No,Never,26-100,No,Yes,Yes,Yes,No,Yes,Medium,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,Yes
31,Male,United States,No,Yes,Yes,Sometimes,6-25,No,No,No,No,No,Don't know,Medium,Maybe,No,Yes,Yes,No,Maybe,Don't know,No
43,Male,United States,No,No,Yes,Sometimes,6-25,No,No,Yes,No,No,Don't know,Medium,No,No,Yes,Yes,No,Maybe,Don't know,No
34,Male,United States,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,No,No,Don't know,Medium,Maybe,No,Some of them,Some of them,No,Yes,Don't know,Yes
29,Male,United States,No,Yes,Yes,Sometimes,26-100,No,Don't know,No,No,No,No,Medium,Yes,No,Some of them,Some of them,No,Maybe,Don't know,No
19,Male,Canada,No,Yes,Yes,Sometimes,1-5,No,No,No,No,No,Don't know,Medium,Maybe,Maybe,Some of them,No,No,Maybe,Don't know,No
41,Male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Not sure,Yes,Yes,Don't know,Medium,Maybe,No,Some of them,Some of them,No,No,No,No
29,Male,United States,No,Yes,No,Never,100-500,No,Yes,Yes,Yes,Yes,Don't know,Medium,No,No,Some of them,Yes,No,Maybe,Yes,No
23,Male,United States,No,No,No,Rarely,100-500,No,Yes,Not sure,Don't know,Don't know,Don't know,Medium,No,No,Some of them,Some of them,No,No,Yes,No
24,Female,United States,No,Yes,Yes,Sometimes,100-500,No,Yes,Not sure,No,No,Don't know,Medium,Yes,Maybe,No,No,No,No,No,Yes
31,Male,United States,No,No,No,Sometimes,26-100,Yes,Don't know,No,No,Don't know,Don't know,Medium,Yes,No,No,No,No,Maybe,Don't know,No
43,Male,United States,No,No,No,Sometimes,500-1000,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Medium,No,No,Yes,Yes,No,No,Yes,No
31,Male,United States,No,Yes,Yes,Rarely,100-500,No,No,No,No,Don't know,Don't know,Medium,Yes,Yes,Some of them,No,No,No,No,Yes
29,Male,United States,No,Yes,No,Often,100-500,No,Yes,Yes,Yes,Yes,Don't know,Medium,No,No,Some of them,Yes,No,No,Don't know,No
35,Male,United States,Yes,Yes,No,Sometimes,6-25,Yes,No,No,Yes,Yes,Don't know,Easy,No,No,Yes,Yes,No,Maybe,Yes,No
27,Male,United States,No,No,No,Sometimes,More than 1000,No,Yes,Not sure,Don't know,Don't know,Yes,Medium,Maybe,Maybe,No,No,No,Maybe,No,No
32,Male,United States,No,No,No,Sometimes,100-500,No,No,Yes,No,No,Don't know,Medium,Maybe,Maybe,Some of them,Some of them,No,No,No,No
50,Male,United States,No,No,No,Sometimes,1-5,Yes,Don't know,No,No,Don't know,Don't know,Medium,Yes,Maybe,Some of them,Some of them,No,Maybe,Don't know,No
27,Male,United States,No,No,No,Sometimes,26-100,No,Don't know,No,No,No,Don't know,Medium,No,No,Yes,Yes,No,Maybe,Yes,No
27,Male,Australia,No,No,No,Never,1-5,Yes,No,No,No,No,Don't know,Medium,Yes,No,No,No,No,Maybe,Don't know,No
32,Male,United States,No,No,Yes,Sometimes,6-25,No,No,Yes,No,No,Yes,Medium,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
30,Male,Singapore,No,No,No,Sometimes,26-100,No,Don't know,Not sure,No,No,Don't know,Medium,Maybe,No,Some of them,No,No,Yes,No,Yes
29,Male,United States,No,No,No,Rarely,More than 1000,No,Yes,No,No,No,Don't know,Easy,Yes,Maybe,Some of them,No,No,No,Don't know,No
30,Male,United States,Yes,No,Yes,Often,6-25,Yes,No,Not sure,No,Yes,Don't know,Medium,No,No,Yes,Yes,No,Maybe,Yes,No
35,Male,United States,No,No,No,Never,26-100,No,Yes,No,Yes,Don't know,Don't know,Medium,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No
38,Male,Netherlands,No,Yes,No,Often,26-100,Yes,No,Not sure,No,Don't know,Don't know,Medium,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No
22,Male,United Kingdom,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,No,No,Yes,Easy,No,No,Some of them,Yes,Maybe,Yes,Yes,No
24,Male,Germany,No,Yes,No,Sometimes,100-500,No,Don't know,No,No,No,Don't know,Medium,No,No,Some of them,Some of them,No,Maybe,Don't know,No
22,Male,Netherlands,Yes,No,No,Never,1-5,No,Don't know,Not sure,No,No,Don't know,Medium,No,Maybe,Some of them,Yes,Maybe,Yes,No,Yes
31,Female,United States,No,No,Yes,Often,26-100,Yes,Yes,Yes,No,No,Don't know,Easy,Maybe,No,Some of them,Some of them,No,Yes,Don't know,No
23,Female,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Medium,Yes,Maybe,No,No,No,No,Don't know,No
31,Female,United States,No,Yes,Yes,Sometimes,100-500,No,Don't know,No,No,No,Don't know,Medium,No,No,Some of them,Some of them,No,No,Don't know,No
28,Female,United States,No,Yes,Yes,Rarely,500-1000,No,Yes,Yes,Yes,Yes,Don't know,Medium,Maybe,No,No,Some of them,No,No,No,No
34,Male,United States,Yes,Yes,Yes,Sometimes,6-25,No,No,Yes,No,No,Yes,Medium,No,No,Some of them,Some of them,No,No,No,No
32,Other,Canada,No,No,No,Sometimes,26-100,Yes,No,Yes,No,No,Yes,Difficult,Yes,Maybe,Some of them,No,No,Maybe,No,Yes
28,Male,United States,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Not sure,No,Don't know,Don't know,Medium,Yes,No,Some of them,Some of them,No,No,Don't know,Yes
24,Female,United Kingdom,No,No,Yes,Sometimes,100-500,No,No,No,No,No,Don't know,Medium,Maybe,No,No,Some of them,No,Maybe,Don't know,No
